Split,Metric,Core,Expanded,Expanded - Core,Pct Delta vs Core
validation,rmse,0.2658897473569206,0.2663641140956653,0.0004743667387446804,0.17840730733701737
validation,mae,0.1080121501381578,0.1076331595688744,-0.0003789905692834078,-0.35087771958862296
validation,bias,-0.0017051347550166,-0.0020027487078539,-0.0002976139528372999,-17.45398432362623
validation,corr,0.3081855482263116,0.302473738109953,-0.005711810116358629,-1.8533672812471542
validation,r2,0.094622464298482,0.0913890631918173,-0.0032334011066647017,-3.4171601116465258
validation,poisson_dev,2237.2485076334497,2233.665114909688,-3.58339272376179,-0.16016963299049353
test,rmse,0.2495316308219363,0.2489195235711805,-0.0006121072507558056,-0.2453024687650121
test,mae,0.1049974867947923,0.1046243690522441,-0.00037311774254819574,-0.35535873661187645
test,bias,0.0060371717864581,0.0061692387739849,0.00013206698752680004,2.1875638494011014
test,corr,0.2342451296513646,0.2425592174442878,0.008314087792923197,3.5493108459916973
test,r2,0.0459136793905238,0.0505887329353801,0.004675053544856297,10.182267260900876
test,poisson_dev,2148.915900829259,2132.2734692158283,-16.642431613430745,-0.7744570928535868
