=====================================================
SIMULATED ANNEALING SEARCH STATISTICS
=====================================================
Algorithm : sa
Seed      : 0
Config ID : 0
Runtime   : 691.09 seconds
Iterations: 200
=====================================================

Iter | Temp | Best | ArchiveSize
 146 |  89.5105 |   915.241617 |          1
 147 |  89.0629 |   915.241617 |          1
 148 |  88.6176 |   915.241617 |          1
 149 |  88.1745 |   915.241617 |          1
 150 |  87.7336 |   915.241617 |          1
 151 |  87.2950 |   915.241617 |          1
 152 |  86.8585 |   915.241617 |          1
 153 |  86.4242 |   915.241617 |          1
 154 |  85.9921 |   915.241617 |          1
 155 |  85.5621 |   915.241617 |          1
 156 |  85.1343 |   915.241617 |          1
 157 |  84.7086 |   915.241617 |          1
 158 |  84.2851 |   915.241617 |          1
 159 |  83.8637 |   915.241617 |          1
 160 |  83.4444 |   915.241617 |          1
 161 |  83.0271 |   915.241617 |          1
 162 |  82.6120 |   915.241617 |          1
 163 |  82.1989 |   915.241617 |          1
 164 |  81.7879 |   915.241617 |          1
 165 |  81.3790 |   915.241617 |          1
 166 |  80.9721 |   915.241617 |          1
 167 |  80.5673 |   915.241617 |          1
 168 |  80.1644 |   915.241617 |          1
 169 |  79.7636 |   915.241617 |          1
 170 |  79.3648 |   915.241617 |          1
 171 |  78.9680 |   915.241617 |          1
 172 |  78.5731 |   915.241617 |          1
 173 |  78.1802 |   915.241617 |          1
 174 |  77.7893 |   915.241617 |          1
 175 |  77.4004 |   915.241617 |          1
 176 |  77.0134 |   915.241617 |          1
 177 |  76.6283 |   915.241617 |          1
 178 |  76.2452 |   915.241617 |          1
 179 |  75.8640 |   915.241617 |          1
 180 |  75.4846 |   915.241617 |          1
 181 |  75.1072 |   915.241617 |          1
 182 |  74.7317 |   915.241617 |          1
 183 |  74.3580 |   915.241617 |          1
 184 |  73.9862 |   915.241617 |          1
 185 |  73.6163 |   915.241617 |          1
 186 |  73.2482 |   915.241617 |          1
 187 |  72.8820 |   915.241617 |          1
 188 |  72.5176 |   915.241617 |          1
 189 |  72.1550 |   915.241617 |          1
 190 |  71.7942 |   915.241617 |          1
 191 |  71.4352 |   915.241617 |          1
 192 |  71.0781 |   915.241617 |          1
 193 |  70.7227 |   915.241617 |          1
 194 |  70.3691 |   915.241617 |          1
 195 |  70.0172 |   915.241617 |          1
 196 |  69.6671 |   915.241617 |          1
 197 |  69.3188 |   915.241617 |          1
 198 |  68.9722 |   915.241617 |          1
 199 |  68.6273 |   915.241617 |          1
