=====================================================
SIMULATED ANNEALING SEARCH STATISTICS
=====================================================
Algorithm : sa
Seed      : 0
Config ID : 0
Runtime   : 268.73 seconds
Iterations: 600
=====================================================

Iter | Temp | Best | ArchiveSize
------------------------------------------
   0 | 740281.2275 |  2067.343955 |          1
   1 | 736579.8214 |  2067.343955 |          1
   2 | 732896.9223 |  2067.343955 |          1
   3 | 729232.4377 |  2067.343955 |          1
   4 | 725586.2755 |  2067.343955 |          1
   5 | 721958.3441 |  2067.343955 |          1
   6 | 718348.5524 |  2067.343955 |          1
   7 | 714756.8096 |  2067.343955 |          1
   8 | 711183.0256 |  2067.343955 |          1
   9 | 707627.1105 |  2067.343955 |          1
  10 | 704088.9749 |  2067.343955 |          1
  11 | 700568.5300 |  2067.343955 |          1
  12 | 697065.6874 |  2067.343955 |          1
  13 | 693580.3589 |  2067.343955 |          1
  14 | 690112.4572 |  2067.343955 |          1
  15 | 686661.8949 |  2067.343955 |          1
  16 | 683228.5854 |  2067.343955 |          1
  17 | 679812.4425 |  2067.343955 |          1
  18 | 676413.3803 |  2067.343955 |          1
  19 | 673031.3134 |  2067.343955 |          1
  20 | 669666.1568 |  2067.343955 |          1
  21 | 666317.8260 |  2067.343955 |          1
  22 | 662986.2369 |  2067.343955 |          1
  23 | 659671.3057 |  2067.343955 |          1
  24 | 656372.9492 |  2067.343955 |          1
  25 | 653091.0844 |  2067.343955 |          1
  26 | 649825.6290 |  2067.343955 |          1
  27 | 646576.5008 |  2067.343955 |          1
  28 | 643343.6183 |  2067.343955 |          1
  29 | 640126.9002 |  2067.343955 |          1
  30 | 636926.2657 |  2067.343955 |          1
  31 | 633741.6344 |  2067.343955 |          1
  32 | 630572.9262 |  2067.343955 |          1
  33 | 627420.0616 |  2067.343955 |          1
  34 | 624282.9613 |  2067.343955 |          1
  35 | 621161.5465 |  2067.343955 |          1
  36 | 618055.7388 |  2067.343955 |          1
  37 | 614965.4601 |  2067.343955 |          1
  38 | 611890.6328 |  2067.343955 |          1
  39 | 608831.1796 |  2067.343955 |          1
  40 | 605787.0237 |  2067.343955 |          1
  41 | 602758.0886 |  2067.343955 |          1
  42 | 599744.2982 |  2067.343955 |          1
  43 | 596745.5767 |  2067.343955 |          1
  44 | 593761.8488 |  2067.343955 |          1
  45 | 590793.0395 |  2067.343955 |          1
  46 | 587839.0743 |  2067.343955 |          1
  47 | 584899.8790 |  2067.343955 |          1
  48 | 581975.3796 |  2067.343955 |          1
  49 | 579065.5027 |  2067.343955 |          1
  50 | 576170.1752 |  2067.343955 |          1
  51 | 573289.3243 |  2067.343955 |          1
  52 | 570422.8777 |  2067.343955 |          1
  53 | 567570.7633 |  2067.343955 |          1
  54 | 564732.9095 |  2067.343955 |          1
  55 | 561909.2449 |  2067.343955 |          1
  56 | 559099.6987 |  2067.343955 |          1
  57 | 556304.2002 |  2067.343955 |          1
  58 | 553522.6792 |  2067.343955 |          1
  59 | 550755.0658 |  2067.343955 |          1
  60 | 548001.2905 |  2067.343955 |          1
  61 | 545261.2840 |  2067.343955 |          1
  62 | 542534.9776 |  2067.343955 |          1
  63 | 539822.3027 |  2067.343955 |          1
  64 | 537123.1912 |  2067.343955 |          1
  65 | 534437.5752 |  2067.343955 |          1
  66 | 531765.3874 |  2067.343955 |          1
  67 | 529106.5604 |  2067.343955 |          1
  68 | 526461.0276 |  2067.343955 |          1
  69 | 523828.7225 |  2067.343955 |          1
  70 | 521209.5789 |  2067.343955 |          1
  71 | 518603.5310 |  2067.343955 |          1
  72 | 516010.5133 |  2067.343955 |          1
  73 | 513430.4608 |  2067.343955 |          1
  74 | 510863.3084 |  2067.343955 |          1
  75 | 508308.9919 |  2067.343955 |          1
  76 | 505767.4469 |  2067.343955 |          1
  77 | 503238.6097 |  2067.343955 |          1
  78 | 500722.4167 |  2067.343955 |          1
  79 | 498218.8046 |  2067.343955 |          1
  80 | 495727.7106 |  2067.343955 |          1
  81 | 493249.0720 |  2067.343955 |          1
  82 | 490782.8266 |  2067.343955 |          1
  83 | 488328.9125 |  2067.343955 |          1
  84 | 485887.2679 |  2067.343955 |          1
  85 | 483457.8316 |  2067.343955 |          1
  86 | 481040.5425 |  2067.343955 |          1
  87 | 478635.3397 |  2067.343955 |          1
  88 | 476242.1630 |  2067.343955 |          1
  89 | 473860.9522 |  2067.343955 |          1
  90 | 471491.6475 |  2067.343955 |          1
  91 | 469134.1892 |  2067.343955 |          1
  92 | 466788.5183 |  2067.343955 |          1
  93 | 464454.5757 |  2067.343955 |          1
  94 | 462132.3028 |  2067.343955 |          1
  95 | 459821.6413 |  2067.343955 |          1
  96 | 457522.5331 |  2067.343955 |          1
  97 | 455234.9204 |  2067.343955 |          1
  98 | 452958.7458 |  2067.343955 |          1
  99 | 450693.9521 |  2067.343955 |          1
 100 | 448440.4823 |  2067.343955 |          1
 101 | 446198.2799 |  2067.343955 |          1
 102 | 443967.2885 |  2067.343955 |          1
 103 | 441747.4521 |  2067.343955 |          1
 104 | 439538.7148 |  2067.343955 |          1
 105 | 437341.0212 |  2067.343955 |          1
 106 | 435154.3161 |  2067.343955 |          1
 107 | 432978.5446 |  2067.343955 |          1
 108 | 430813.6518 |  2067.343955 |          1
 109 | 428659.5836 |  2067.343955 |          1
 110 | 426516.2857 |  2067.343955 |          1
 111 | 424383.7042 |  2067.343955 |          1
 112 | 422261.7857 |  2067.343955 |          1
 113 | 420150.4768 |  2067.343955 |          1
 114 | 418049.7244 |  2067.343955 |          1
 115 | 415959.4758 |  2067.343955 |          1
 116 | 413879.6784 |  2067.343955 |          1
 117 | 411810.2800 |  2067.343955 |          1
 118 | 409751.2286 |  2067.343955 |          1
 119 | 407702.4725 |  2067.343955 |          1
 120 | 405663.9601 |  2067.343955 |          1
 121 | 403635.6403 |  2067.343955 |          1
 122 | 401617.4621 |  2067.343955 |          1
 123 | 399609.3748 |  2067.343955 |          1
 124 | 397611.3279 |  2067.343955 |          1
 125 | 395623.2713 |  2067.343955 |          1
 126 | 393645.1549 |  2067.343955 |          1
 127 | 391676.9291 |  2067.343955 |          1
 128 | 389718.5445 |  2067.343955 |          1
 129 | 387769.9518 |  2067.343955 |          1
 130 | 385831.1020 |  2067.343955 |          1
 131 | 383901.9465 |  2067.343955 |          1
 132 | 381982.4368 |  2067.343955 |          1
 133 | 380072.5246 |  2067.343955 |          1
 134 | 378172.1620 |  2067.343955 |          1
 135 | 376281.3012 |  2067.343955 |          1
 136 | 374399.8946 |  2067.343955 |          1
 137 | 372527.8952 |  2067.343955 |          1
 138 | 370665.2557 |  2067.343955 |          1
