algorithm,_max_time,_random_seed,_hms,crossover,temp_scale,steps,_hmcr,_par,_max_imp,problem_number,is_multi,test_percentage,val_percentage,_obj_1,_obj_2,hurdle,drop,pvalue_penalty,complexity_level,Keep_Fit,_max_characteristics,MP
hs,772000,13,20,0.1,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.1625,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.225,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.2875,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.35,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.4125,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.475,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.5375,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,20,0.6,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.1,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.1625,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.225,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.2875,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.35,0,0,0,0,72000,10,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.4125,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.475,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.5375,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,25,0.6,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.1,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.1625,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.225,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.2875,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.35,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.4125,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.475,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.5375,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,30,0.6,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.1,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.1625,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.225,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.2875,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.35,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.4125,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.475,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.5375,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,35,0.6,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.1,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.1625,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.225,0,0,0,0,72000,7,0,0,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.2875,0,0,0,0,72000,7,0,0,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.35,0,0,0,0,72000,7,0,0,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.4125,0,0,0,0,72000,7,0,0,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.475,0,0,0,0,72000,7,0,0,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.5375,0,0,0,0,72000,7,0,0,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,40,0.6,0,0,0,0,72000,7,0,0,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.1,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.1625,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.225,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.2875,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.35,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.4125,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.475,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.5375,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,45,0.6,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,50,0.1,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,50,0.1625,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,50,0.225,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,50,0.2875,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,50,0.35,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
de,772000,13,50,0.4125,0,0,0,0,72000,7,1,0.3,0,bic,RMSE_TEST,0,0,20,4,2,20,0
