Iteration,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC
8,"DX32_Z, SNOW_Z","DX32_Z, paved_shoulder_Z",2233.665114909688,0.2663641140956653,9298.895437437264,9354.96548920866
6,(none),"DX32_Z, PRCP_Z",2234.416581213014,0.26678122877903737,9285.454074676896,9325.504111656464
3,TMAX_Z,right_shoulder_width_Z,2234.824380206165,0.266865962143232,9280.262178270073,9320.312215249642
5,"SNOW_Z, dummy_winter",(none),2235.0877540940746,0.26578782862775735,9325.406819761942,9365.45685674151
7,TAVG_Z,(none),2247.0304062422056,0.2675388478593747,9296.322475050198,9328.362504633853
4,"DSND_Z, curve",curve,2256.1763207794893,0.26723627339944184,9323.826289453948,9371.88633382943
2,(none),(none),2279.174754198156,0.2678935068425135,9425.402140161861,9449.432162349602
1,segment_length_Z,curve,2287.9533381569036,0.2681777935534913,9407.898140983512,9447.94817796308
