Iteration,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC
1,LENGTH_Z,CURVES_Z,19039.32842786857,70.4731352590157,50922.77606593161,50935.199847827214
2,(none),(none),23137.02503563643,80.4244982528335,71648.05374491593,71654.26563586373
3,"CURVES_Z, SPEED_Z","PEAKHR_Z, SLOPE_Z",23812.156078111013,116.60051820553241,61369.60784859734,61388.243521440745
