Search Phase,Candidates evaluated,Best BIC,Best Val RMSE,Median BIC,Median Val RMSE,First iter within 0.5% of best BIC
Simulated Annealing,1000,1147.8217591051366,13.282113780587263,1168.6288499988204,17.13755225893562,1893.0
Harmony Search,424,1147.8217591051366,15.033270515860671,1159.0692104111176,16.96540400621774,867.0
