Split,aadt_elasticity_min,aadt_elasticity_p10,aadt_elasticity_median,aadt_elasticity_p90,aadt_elasticity_share_positive
train+validation,0.3109062252831164,0.48555299142352876,0.6109042880299543,0.7631471078439681,1.0
test,0.37368600004679353,0.5078868575807292,0.6047996949480883,0.7586980177249373,1.0
