Iteration,Family,Upper Vars,Lower Vars,Val RMSE,BIC,Pareto Efficient,Beats benchmark (BIC+RMSE),BIC improvement vs benchmark,RMSE improvement vs benchmark,Joint improvement score,Selected by Pareto
1051,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXGRDIFF_Z","CURVES_Z, MXMEDSH_Z",16.82170365963609,1150.9882288819915,False,True,,,,False
2243,nb,"CURVES_Z, MIMEDSH_Z",MXMEDSH_Z,16.616239975613038,1151.0679079803315,False,True,,,,False
1067,nb,"INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,17.332938619214744,1151.1099004213413,False,True,,,,False
2247,nb,"INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,17.332938619214744,1151.1099004213413,False,True,,,,False
2042,nb,"MIMEDSH_Z, MXMEDSH_Z",MINRAD_Z,16.969893509638915,1151.1716317539606,False,True,,,,False
1014,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",CURVES_Z,16.419671783074868,1151.205695955223,False,True,,,,False
2228,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",CURVES_Z,16.419671783074868,1151.205695955223,False,True,,,,False
1110,nb,"CURVES_Z, FC_1, MIMEDSH_Z",MXMEDSH_Z,16.196671785189935,1151.3044665146417,False,True,,,,False
2238,nb,"CURVES_Z, FC_1, MIMEDSH_Z",MXMEDSH_Z,16.196671785189935,1151.3044665146417,False,True,,,,False
1192,nb,"LOWPRE, MXMEDSH_Z",MIMEDSH_Z,17.224683232129838,1151.3683514075742,False,True,,,,False
1052,nb,"FC_1, MIMEDSH_Z","CURVES_Z, MXMEDSH_Z",16.16790470153497,1151.4499366591792,False,True,,,,False
2235,nb,"FC_1, MIMEDSH_Z","CURVES_Z, MXMEDSH_Z",16.16790470153497,1151.4499366591792,False,True,,,,False
1072,nb,"FC_1, LOWPRE, MXMEDSH_Z",MIMEDSH_Z,16.69498423370413,1151.4676005050678,False,True,,,,False
2196,nb,"FC_1, MXGRDIFF_Z, MXMEDSH_Z",MIMEDSH_Z,16.58355194604745,1151.4968466524867,False,True,,,,False
2209,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",AVESNOW_Z,16.50226606036986,1151.5629357840774,False,True,,,,False
2199,nb,"FC_1, MXGRDIFF_Z","MIMEDSH_Z, MXMEDSH_Z",16.370417342082952,1151.633555468631,False,True,,,,False
2249,nb,"AVESNOW_Z, FC_1, MIMEDSH_Z",MXMEDSH_Z,16.28429788461979,1151.637414532036,False,True,,,,False
1083,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",MINRAD_Z,16.578424133019794,1151.681795796582,False,True,,,,False
2049,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",MINRAD_Z,16.578424133019794,1151.681795796582,False,True,,,,False
888,nb,"FC_1, LANES_Z, MIMEDSH_Z",MXMEDSH_Z,16.56419872175601,1151.7058955351104,False,True,,,,False
2232,nb,"FC_1, LANES_Z, MIMEDSH_Z",MXMEDSH_Z,16.56419872175601,1151.7058955351104,False,True,,,,False
1983,nb,"MIMEDSH_Z, MINRAD_Z",MXMEDSH_Z,16.82513192974633,1151.7255289285033,False,True,,,,False
2051,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",URB,16.704052098132625,1151.7514083842693,False,True,,,,False
2260,nb,"AVEPRE_Z, MIMEDSH_Z",MXMEDSH_Z,16.710179813614804,1151.795522859276,False,True,,,,False
2233,nb,"MIMEDSH_Z, SPEED_Z",MXMEDSH_Z,16.510771599740057,1151.8116283946079,False,True,,,,False
2166,nb,"MXMEDSH_Z, TANGENT_Z",MIMEDSH_Z,17.058749664843226,1151.8216927355172,False,True,,,,False
1138,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",LANES_Z,16.799188620031487,1151.8372507744984,False,True,,,,False
2222,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",LANES_Z,16.799188620031487,1151.8372507744984,False,True,,,,False
2231,nb,"FC_1, MIMEDSH_Z","MINRAD_Z, MXMEDSH_Z",16.363587704953954,1151.8693556328544,False,True,,,,False
2237,nb,"FC_1, MIMEDSH_Z","LANES_Z, MXMEDSH_Z",16.599479776189625,1151.9050302258204,False,True,,,,False
1144,nb,"FC_1, MIMEDSH_Z","MXMEDSH_Z, URB",16.465812774734307,1151.9767897632219,False,True,,,,False
2255,nb,"FC_1, MIMEDSH_Z","MXMEDSH_Z, URB",16.465812774734307,1151.9767897632219,False,True,,,,False
2219,nb,"FRICTION_Z, MIMEDSH_Z",MXMEDSH_Z,16.868947505804996,1152.0355597299902,False,True,,,,False
1179,nb,"FC_1, MIMEDSH_Z, MXGRDIFF_Z, TANGENT_Z",MXMEDSH_Z,16.267649091582403,1152.051885219327,False,True,,,,False
2215,nb,"FC_1, MIMEDSH_Z, MINRAD_Z",MXMEDSH_Z,16.335599632318424,1152.1068412527857,False,True,,,,False
1081,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",MIMEDSH_Z,16.809304999645054,1152.1787233007854,False,True,,,,False
2256,nb,"FC_1, MIMEDSH_Z, WIDTH_Z",MXMEDSH_Z,16.31262470025645,1152.1811757635146,False,True,,,,False
1069,nb,"FC_1, MIMEDSH_Z, URB",MXMEDSH_Z,16.41253931242613,1152.1927292505395,False,True,,,,False
2216,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",WIDTH_Z,16.551054786341194,1152.204399246417,False,True,,,,False
2239,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",SLOPE_Z,17.138458266431666,1152.242791559222,False,True,,,,False
1105,nb,"INTECHAG_Z, MIMEDSH_Z","CURVES_Z, MXMEDSH_Z",17.16994935333624,1152.2951595613815,False,True,,,,False
1220,nb,"CURVES_Z, FC_1, MXMEDSH_Z",MIMEDSH_Z,16.53814041408022,1152.2972964881128,False,True,,,,False
1158,nb,"FC_1, MIGRADE_Z, MIMEDSH_Z",MXMEDSH_Z,16.232647768183156,1152.339481860185,False,True,,,,False
2262,nb,"FC_1, MIGRADE_Z, MIMEDSH_Z",MXMEDSH_Z,16.232647768183156,1152.339481860185,False,True,,,,False
1207,nb,"LANES_Z, MIMEDSH_Z, MXMEDSH_Z",MIMEDSH_Z,17.180427619369933,1152.3554720434563,False,True,,,,False
917,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",ACCESS_Z,16.541028373373457,1152.397358745509,False,True,,,,False
2060,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",ACCESS_Z,16.541028373373457,1152.397358745509,False,True,,,,False
1012,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",HISNOW,16.505651292894413,1152.4475126445357,False,True,,,,False
2245,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",HISNOW,16.505651292894413,1152.4475126445357,False,True,,,,False
2258,nb,"FC_1, MIMEDSH_Z","MXMEDSH_Z, SLOPE_Z",16.89569913916118,1152.4825582518145,False,True,,,,False
2204,nb,"FC_1, INTPM_Z, MIMEDSH_Z",MXMEDSH_Z,16.126053835120928,1152.5051862923983,False,True,,,,False
2015,nb,"MIMEDSH_Z, MXMEDSH_Z",AVESNOW_Z,16.983812572196115,1152.5218196232229,False,True,,,,False
934,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","AVESNOW_Z, MXMEDSH_Z",16.917412360130097,1152.527709844626,False,True,,,,False
2252,nb,"ACCESS_Z, FC_1, MIMEDSH_Z",MXMEDSH_Z,16.317403308475676,1152.5405174924326,False,True,,,,False
1215,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",MEDWIDTH_Z,16.417043099244808,1152.5623328607974,False,True,,,,False
2078,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",MEDWIDTH_Z,16.417043099244808,1152.5623328607974,False,True,,,,False
1087,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",SPEED_Z,16.54997606085703,1152.5692474653108,False,True,,,,False
2227,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",SPEED_Z,16.54997606085703,1152.5692474653108,False,True,,,,False
2211,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",MXMEDSH_Z,16.74528630349521,1152.5748216983986,False,True,,,,False
2226,nb,"MIMEDSH_Z, MXMEDSH_Z",MXMEDSH_Z,17.178227703549805,1152.6101070528237,False,True,,,,False
2234,nb,"FC_1, HISNOW, MIMEDSH_Z",MXMEDSH_Z,16.29641547980426,1152.648276063644,False,True,,,,False
1088,nb,"MIMEDSH_Z, MXMEDSH_Z",MEDWIDTH_Z,16.947960948511223,1152.6541662895218,False,True,,,,False
1949,nb,"MIMEDSH_Z, MXMEDSH_Z",MEDWIDTH_Z,16.947960948511223,1152.6541662895218,False,True,,,,False
2144,nb,"FC_1, LANES_Z","MIMEDSH_Z, MXMEDSH_Z",16.61766480800451,1152.6900262165168,False,True,,,,False
2141,nb,"FC_1, LANES_Z, MXMEDSH_Z",MIMEDSH_Z,16.841863493691793,1152.6915515481674,False,True,,,,False
954,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",AVESNOW_Z,17.068979280344553,1152.6941065081144,False,True,,,,False
