Iteration,Family,Phase,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT OK
450,nb,random,"ACCESS_Z, CURVES_Z, EXPOSE_Z, GBRPM_Z, MEDWIDTH_Z, MXMEDSH_Z, SINGLE_Z","CURVES_Z, PEAKHR_Z, WIDTH_Z",579.4303394940324,16.43552979851,1161.9808257701945,1202.358116930902,0.7739192792637559,0.8247614154332382,0.8747734512898057,0.9075627927691731,1.0,yes
182,poisson,random,"MEDWIDTH_Z, SINGLE_Z, TANGENT_Z, WIDTH_Z","CURVES_Z, HISNOW, WIDTH_Z",580.7636881847445,15.564990288023466,1847.1984959294848,1875.15200519459,0.7059227526438994,0.7200048405587576,0.7324104120890971,1.0620375746504604,1.0,yes
432,poisson,random,"ACCESS_Z, LNAADT_Z, LOWPRE, PEAKHR_Z, SINGLE_Z","MXMEDSH_Z, PEAKHR_Z",581.2619284862978,15.867396330776964,1856.6754757930505,1884.6289850581556,-0.27076843142444157,-0.21273592079489223,-0.07285907018967425,-0.030139567325285034,0.01818181818181818,no
45,nb,random,"CPM_Z, GBRPM_Z, GRADEBR_Z, MEDWIDTH_Z, MXMEDSH_Z, SPEED_Z",SPEED_Z,581.8682937044496,15.895801459618836,1162.1318251320909,1193.1912798710966,0.5843572662085018,0.6812386079741577,0.7781199497398136,0.7781199497398136,1.0,yes
162,poisson,random,"INTPM_Z, LANES_Z, LOWPRE, MINRAD_Z, SPEED_Z, WIDTH_Z","CURVES_Z, LANES_Z, SLOPE_Z, URB",582.1528994211438,16.086254902545075,1803.3329667274206,1840.6043124142275,0.7123641928589299,0.7256414589374128,0.7347348582990295,1.0558767628143324,1.0,yes
514,poisson,random,"DOUBLE_Z, HISNOW, MIGRADE_Z, MXMEDSH_Z, SINGLE_Z","SPEED_Z, URB",582.7552237393809,16.29164756349781,1852.0439173103632,1879.9974265754684,0.6609412492531815,0.6720868659090741,0.6720868659090741,0.6797494085576554,1.0,yes
323,poisson,random,"AVESNOW_Z, CURVES_Z, FC_Z, GBRPM_Z, INTECHAG_Z, LOWPRE, MXMEDSH_Z","MEDWIDTH_Z, MINRAD_Z, MXMEDSH_Z",582.7712952691495,16.53073185699026,1747.7917662260734,1785.0631119128802,0.585670672491857,0.5897731664441698,0.5988031088757314,0.8412894728213854,1.0,yes
379,nb,random,"DOUBLE_Z, INTPM_Z, MEDWIDTH_Z, MIGRADE_Z, MXGRDIFF_Z, MXMEDSH_Z, PEAKHR_Z, SPEED_Z, TRAIN_Z, WIDTH_Z",PEAKHR_Z,583.4399971507466,16.914762685924757,1152.9128383779932,1196.3960750126014,0.7080761310737546,0.7378343616660491,0.8065716830341659,0.8222890583469975,1.0,yes
192,nb,random,"EXPOSE_Z, GRADEBR_Z, HISNOW, TANGENT_Z, WIDTH_Z","AVEPRE_Z, WIDTH_Z",583.5430065148626,16.31671011035252,1154.5706561365464,1185.6301108755522,0.7660374701576051,0.7669131579509971,0.7866453228954294,1.1606514029245767,1.0,yes
244,poisson,random,"FC_Z, HISNOW, MEDWIDTH_Z, MXGRDIFF_Z, PEAKHR_Z","LANES_Z, MXMEDSH_Z, PEAKHR_Z",583.8419977388334,16.633472292873876,1824.4408501981156,1855.5003049371214,0.6966097532480345,0.7366743422890828,0.8328117852351992,0.8596826323392214,1.0,yes
380,poisson,random,"GBRPM_Z, GRADEBR_Z, LNAADT_Z, MXMEDSH_Z, TANGENT_Z, WIDTH_Z","MINRAD_Z, PEAKHR_Z, WIDTH_Z",584.3991491888559,15.52322241147416,1859.1466139638771,1893.3120141767836,-0.19656490330496262,-0.18545868623316025,-0.17745250582795707,0.14392584245813758,0.2909090909090909,no
498,nb,random,"ACCESS_Z, CPM_Z, EXPOSE_Z, LOWPRE, MIGRADE_Z, TRAIN_Z","CURVES_Z, MINRAD_Z, MXMEDSH_Z",584.648524672891,16.12482800149975,1156.1507898641526,1193.4221355509594,0.5801974888204956,0.5885311369534058,0.6019238918425992,0.6138699801854509,1.0,yes
363,poisson,random,"ACCESS_Z, AVEPRE_Z, AVESNOW_Z, DOUBLE_Z, FC_Z, FRICTION_Z, LOWPRE, MXMEDSH_Z","ACCESS_Z, CURVES_Z, MXMEDSH_Z",585.0064443502935,15.99897729677379,1800.895578257445,1841.2728694181526,0.6174093371960118,0.629123552292915,0.6361520813510568,0.7382009725018515,1.0,yes
3,nb,random,"FC_Z, GRADEBR_Z, MXGRDIFF_Z, PEAKHR_Z, SLOPE_Z, SPEED_Z, TANGENT_Z, WIDTH_Z","ACCESS_Z, SLOPE_Z, SPEED_Z, WIDTH_Z",587.5968986732053,15.488782256794371,1149.3724925075744,1195.9616746160832,0.34563950816161243,0.5989643412622763,0.8078186390040104,1.086131991295028,1.0,yes
322,poisson,random,"AVESNOW_Z, CPM_Z, FC_Z, GRADEBR_Z, LOWPRE, MEDWIDTH_Z, MXMEDSH_Z, SLOPE_Z, URB, WIDTH_Z",AVESNOW_Z,587.8313603022083,16.768350739598958,1779.2796954939827,1819.6569866546902,-0.19640055769430742,0.45565984800663445,0.8859958744381518,0.9515595349748095,0.9636363636363636,no
340,poisson,random,"INTPM_Z, LANES_Z, MINRAD_Z","CURVES_Z, LANES_Z",589.0268871383214,15.807580067435685,1836.2112890927135,1857.9529074100176,0.7264012585583636,0.7419866420411169,0.7547383194360968,1.0818878955649658,1.0,yes
542,nb,random,"DOUBLE_Z, LOWPRE","ACCESS_Z, AVEPRE_Z, HISNOW, MXMEDSH_Z",589.1171611857606,16.643837027662858,1150.0808164627663,1178.0343257278714,0.5338109057489745,0.5561718228421259,0.5685792944418542,0.5783416119781549,1.0,yes
578,poisson,random,"DOUBLE_Z, GRADEBR_Z, HISNOW, INTPM_Z, LANES_Z, SPEED_Z",LANES_Z,590.8049653798582,16.256744937474217,1869.1432741898534,1897.0967834549585,0.7407603888066384,0.7407603888066384,0.7407603888066384,1.0315409800531463,1.0,yes
22,poisson,random,"AVESNOW_Z, EXPOSE_Z, FC_Z, INTECHAG_Z, MINRAD_Z, MXGRDIFF_Z, MXMEDSH_Z, TANGENT_Z, TRAIN_Z, WIDTH_Z","AVESNOW_Z, SLOPE_Z, URB",591.0575694199913,16.35008489874425,1761.078732292397,1807.6679144009058,-0.6262797645622596,0.26029588546892346,0.8454033985608012,0.9367296442228769,0.9272727272727272,no
