ID,Month,Death,Roadway_Class,Road_surface,Road_section,Weather_condition,Light_condition
173,1,0,4,1,1,1,3
174,1,0,4,1,1,1,1
175,1,1,3,1,1,1,3
176,1,1,4,1,2,1,1
177,1,0,4,2,1,1,3
178,1,0,3,1,1,1,1
179,1,0,1,1,3,1,3
180,1,1,4,1,1,1,1
181,1,0,4,1,3,1,2
182,1,0,3,1,1,1,1
183,1,0,4,1,1,1,3
184,1,0,1,1,1,1,3
185,1,0,4,1,3,1,1
186,1,0,4,1,1,1,3
187,1,0,3,1,1,1,3
188,1,1,1,1,1,1,3
189,1,0,3,1,3,1,2
190,1,0,1,1,3,1,1
191,1,0,3,1,1,1,1
192,1,0,4,1,1,1,1
193,1,0,4,1,1,1,3
194,1,0,1,1,3,1,1
195,1,0,3,1,1,1,1
196,1,0,1,1,1,1,1
197,1,6,1,1,1,1,3
198,1,0,4,1,3,1,2
199,1,0,4,1,2,1,1
200,1,1,1,1,1,1,1
201,1,0,4,1,1,1,1
202,1,0,4,1,1,1,1
203,1,0,1,1,1,1,2
204,1,0,1,1,1,1,1
205,1,0,4,1,1,1,2
206,1,1,1,1,1,1,1
207,1,1,1,1,3,1,2
208,1,1,4,1,1,1,3
209,1,0,4,1,1,1,1
210,1,1,1,1,3,1,1
211,1,0,1,1,1,1,3
212,1,0,4,1,1,1,1
213,1,0,4,1,1,1,1
214,1,0,1,1,1,1,3
215,1,0,4,1,1,1,3
216,1,0,4,1,1,1,3
217,1,0,1,1,1,2,2
218,1,0,1,1,2,1,3
219,1,0,1,1,1,1,2
220,1,1,1,1,1,1,1
221,1,0,4,1,1,1,1
222,1,0,1,1,1,1,2
223,1,0,1,1,2,1,1
224,1,0,3,1,1,1,2
225,1,1,1,1,1,1,3
226,1,0,4,1,2,1,3
227,1,0,4,1,3,1,1
228,1,0,2,1,1,1,1
229,1,0,4,1,1,1,1
230,1,0,4,1,1,1,1
231,1,0,1,1,1,1,1
232,1,1,1,1,1,1,1
233,1,0,1,1,1,1,1
234,1,0,1,1,1,1,1
235,1,0,4,1,1,1,1
236,1,0,3,1,1,1,1
237,1,0,1,1,3,1,1
238,1,0,4,1,3,1,1
239,1,0,1,1,1,1,1
240,1,0,1,1,1,1,1
241,1,0,1,1,1,1,1
242,1,1,4,1,1,1,2
243,1,0,4,1,2,1,1
244,1,0,2,1,3,1,1
245,1,1,4,1,1,1,3
246,1,1,2,1,1,1,3
247,1,0,1,1,1,1,1
248,1,0,4,1,1,1,3
249,1,1,4,1,1,1,2
250,1,1,2,1,1,1,2
251,1,1,2,1,1,1,2
252,1,0,3,1,3,1,1
253,1,1,1,1,1,1,3
254,1,0,2,1,3,1,3
255,1,0,1,1,3,1,1
256,1,0,4,2,2,3,1
257,1,0,4,1,1,1,3
258,1,1,2,1,1,1,2
259,1,1,4,1,1,1,3
260,1,0,4,1,2,1,1
261,1,0,1,1,3,1,1
262,1,1,2,1,1,1,2
263,1,1,2,1,1,1,3
264,1,1,4,1,1,1,1
265,1,1,2,1,1,1,3
266,1,0,1,1,2,1,2
267,1,0,1,1,1,2,2
268,1,0,3,1,3,1,1
269,1,0,3,1,3,1,1
270,1,0,4,1,1,1,1
271,1,0,1,1,1,1,3
272,1,0,2,1,1,1,2
273,1,0,4,2,1,1,1
274,1,0,3,1,1,1,1
275,1,1,2,1,2,2,3
276,1,0,1,1,2,1,1
