FSI,US,RSHS,RSMS,Offset,LNAADT,LNMCV,Curve50,Constant
0,0,1,0,0.91,0.8,0.4,0,1
0,1,0,0,0.81,0.9,0.4,0,1
0,0,0,0,0.946,1,0.4,0,1
0,1,0,0,0.908,0.9,0.3,0,1
0,0,0,1,0.915,0.9,0.2,0,1
0,1,0,0,0.926,1,0.4,0,1
0,1,0,0,0.87,0.9,0.2,0,1
0,1,0,0,0.885,0.9,0.2,0,1
0,0,1,0,0.985,0.7,0.4,0,1
0,0,1,0,0.955,0.7,0.4,0,1
0,1,0,0,0.872,1,0.3,0,1
0,0,0,0,0.919,1,0.4,1,1
0,1,0,0,0.947,0.9,0.4,0,1
0,0,1,0,0.931,0.9,0.3,0,1
0,0,1,0,1.013,0.9,0.3,0,1
0,0,1,0,0.87,0.9,0.3,0,1
0,1,0,0,0.899,0.9,0.3,0,1
0,0,1,0,0.921,0.9,0.3,0,1
0,1,0,0,0.921,0.8,0.3,0,1
0,1,0,0,0.852,0.8,0.3,0,1
0,0,1,0,0.925,0.8,0.5,0,1
0,0,1,0,0.876,0.8,0.5,0,1
0,1,0,0,0.917,0.9,0.4,0,1
0,0,0,0,1.003,0.9,0.5,0,1
0,1,0,0,0.9,0.9,0.5,1,1
0,0,1,0,0.931,0.8,0.5,0,1
0,1,0,0,0.906,0.7,0.5,0,1
0,0,0,0,0.914,0.9,0.2,0,1
0,1,0,0,0.882,0.9,0.2,0,1
0,0,0,0,0.751,0.9,0.4,0,1
0,1,0,0,1.031,0.9,0.4,1,1
0,0,0,1,1.059,0.9,0.4,0,1
0,0,1,0,0.985,0.8,0.4,0,1
0,1,0,0,0.753,0.8,0.4,1,1
0,1,0,0,0.885,1,0.4,0,1
0,1,0,0,0.899,0.9,0.4,0,1
0,1,0,0,0.885,0.9,0.4,0,1
0,1,0,0,0.885,0.9,0.4,0,1
0,0,1,0,1.151,0.8,0.2,0,1
0,0,0,0,0.87,0.9,0.3,0,1
0,0,1,0,1.107,0.9,0.3,0,1
0,1,0,0,0.921,0.9,0.4,0,1
0,1,0,0,0.921,0.9,0.4,0,1
0,0,0,0,0.885,0.9,0.4,1,1
0,0,1,0,1.15,0.8,0.2,0,1
0,0,1,0,0.888,0.8,0.2,0,1
0,0,1,0,1.03,0.8,0.2,0,1
0,0,0,1,1.11,0.7,0.2,0,1
0,1,0,0,0.91,0.9,0.3,1,1
0,1,0,0,0.939,0.9,0.4,0,1
0,1,0,0,0.931,0.9,0.4,0,1
0,0,1,0,0.91,0.9,0.4,0,1
0,0,1,0,1.141,0.9,0.3,0,1
0,0,1,0,1.004,0.9,0.4,0,1
0,1,0,0,0.885,0.9,0.5,1,1
0,0,0,1,0.899,0.9,0.5,0,1
0,0,0,1,0.995,0.9,0.5,1,1
0,1,0,0,0.995,0.9,0.5,1,1
0,0,0,1,0.921,0.9,0.5,1,1
0,0,0,1,0.899,0.9,0.4,1,1
0,0,0,0,1.046,1,0.3,0,1
0,0,0,0,0.885,1,0.4,0,1
0,0,0,0,0.885,1,0.4,0,1
0,0,0,0,0.955,1,0.4,0,1
0,0,0,0,0.91,1,0.4,1,1
0,1,0,0,0.947,1,0.2,1,1
0,1,0,0,0.895,1,0.4,1,1
0,1,0,0,0.931,1,0.4,0,1
0,0,1,0,1.06,1,0.4,0,1
0,0,1,0,0.852,1,0.4,1,1
0,1,0,0,0.87,1,0.4,0,1
0,1,0,0,0.885,1,0.4,0,1
0,0,1,0,1.151,0.9,0.5,0,1
0,1,0,0,0.885,0.9,0.5,0,1
0,0,1,0,1.151,0.8,0.4,0,1
0,0,1,0,1.052,0.8,0.4,0,1
0,1,0,0,0.921,0.8,0.3,0,1
0,1,0,0,0.87,0.8,0.4,1,1
0,0,1,0,0.924,0.8,0.4,0,1
0,1,0,0,0.939,0.8,0.2,1,1
0,1,0,0,0.899,0.8,0.2,0,1
0,0,1,0,1.151,0.7,0.2,0,1
0,0,1,0,1.13,0.7,0.2,0,1
0,0,1,0,0.931,0.6,0.2,1,1
0,0,1,0,1.129,0.6,0.2,0,1
0,1,0,0,0.885,0.8,0.3,1,1
0,0,1,0,0.892,0.8,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,1,0,0,0.87,0.7,0.3,1,1
0,1,0,0,0.885,0.7,0.3,0,1
0,0,1,0,0.92,0.7,0.3,0,1
0,1,0,0,0.91,0.5,0.2,0,1
0,1,0,0,0.885,1,0.2,0,1
0,1,0,0,0.916,0.9,0.5,1,1
0,0,1,0,1.117,0.8,0.2,0,1
0,1,0,0,0.866,0.7,0.1,0,1
0,0,0,0,0.939,0.9,0.4,0,1
0,1,0,0,0.995,0.9,0.4,0,1
0,0,1,0,0.921,0.9,0.4,0,1
0,0,1,0,0.87,0.9,0.4,0,1
0,0,1,0,0.947,0.9,0.4,0,1
0,1,0,0,0.91,0.9,0.4,0,1
0,1,0,0,0.955,0.9,0.4,0,1
0,0,1,0,0.87,0.9,0.4,0,1
0,0,0,0,0.841,0.9,0.4,0,1
0,1,0,0,0.899,0.9,0.4,0,1
0,0,1,0,1.151,0.7,0.4,0,1
