ID,FREQ,aones,hisnow,FRICTION,expose,cpm,intpm,gbrpm,lowpre,ny
1,1,1,1,53.5,0.007818592,3.125,0,3.125,0,0.007142857
2,4,1,1,54,0.017591831999999998,2.7777777777777777,0,1.3888888888888888,0,0.028571429
3,2,1,1,52.5,0.049201489,0.9345794392523364,0,1.8691588785046729,0,0.014285714
4,1,1,1,52.3,0.05058097,1.8181818181818181,0,1.8181818181818181,0,0.007142857
5,0,1,1,52.3,0.036141058999999996,2.8169014084507045,0,0,1,0
6,36,1,1,46.2,0.283053887,1.054481546572935,0,1.2302284710017575,0,0.257142857
7,4,1,1,46,0.055511755,1.5384615384615383,0,3.0769230769230766,0,0.028571429
8,2,1,1,54.5,0.040584058,2.9197080291970803,0,2.189781022,0,0.014285714
9,12,1,1,55.8,0.071392394,3.3195020746887964,0,2.0746887966804977,0,0.085714286
10,2,1,1,56,0.048286142000000004,2.4539877300613497,0,1.8404907975460123,0,0.014285714
11,14,1,1,53.8,0.300669918,1.3513513513513513,0.9009009009009008,1.3513513513513513,0,0.1
12,1,1,1,53,0.125283002,2.2988505747126435,1.1494252873563218,3.4482758620689657,0,0.007142857
13,20,1,1,51.5,0.12435257999999998,0.8620689655172414,1.7241379310344829,1.7241379310344829,0,0.142857143
14,14,1,1,51.3,0.24024059099999998,1.4218009478672986,0.9478672985781991,2.3696682464454977,0,0.1
15,26,1,0,47.8,0.21554929,0,1.1764705882352942,1.7647058823529411,0,0.185714286
16,11,1,0,45.5,0.287297632,0,0.6578947368421053,1.9736842105263157,0,0.078571429
17,25,1,0,47.2,0.5712785820000001,0.30864197530864196,0.30864197530864196,2.7777777777777777,0,0.178571429
18,10,1,0,45,0.145463815,0,1.1764705882352942,1.1764705882352942,0,0.071428571
19,12,1,0,45,0.19775404349999998,1.7094017094017095,0,2.5641025641025643,0,0.085714286
20,2,1,0,45,0.118314385,0,0,2.857142857142857,0,0.014285714
21,11,1,0,48.5,0.20738497,0.7692307692307692,0.7692307692307692,1.5384615384615383,0,0.078571429
22,6,1,0,49.5,0.084549257,1.8867924528301885,1.8867924528301885,3.773584905660377,0,0.042857143
23,1,1,0,49.5,0.085577024,1.923076923076923,1.923076923076923,5.769230769230769,0,0.007142857
24,6,1,0,49.5,0.17279976,1.9047619047619047,0,0.9523809523809523,0,0.042857143
25,2,1,0,51.5,0.149759792,2.1978021978021975,0,1.0989010989010988,0,0.014285714
26,16,1,0,50.5,0.20785804649999998,0,0.8547008547008548,0.8547008547008548,0,0.114285714
27,0,1,0,48.5,0.402113784,1.838235294117647,0,2.205882352941176,0,0
28,0,1,0,48.5,0.090179929,3.278688524590164,1.639344262295082,1.639344262295082,0,0
29,4,1,0,48.5,0.134530715,2.1978021978021975,1.0989010989010988,2.1978021978021975,0,0.028571429
30,5,1,0,50.5,0.070010906,1.7543859649122808,0,3.5087719298245617,0,0.035714286
31,14,1,0,53,0.23590110599999997,1.8072289156626506,0.6024096385542169,3.0120481927710845,0,0.1
32,22,1,0,46.8,0.41703805,1.0909090909090908,0.36363636363636365,1.8181818181818181,0,0.157142857
33,12,1,0,45,0.317167736,1.2987012987012987,0.8658008658008658,2.1645021645021645,0,0.085714286
34,14,1,0,45.4,0.512981001,1.3071895424836601,0.6535947712418301,1.9607843137254901,0,0.1
35,16,1,0,44.3,0.3892005949999999,0,0,0,0,0.114285714
36,18,1,0,49,0.40781453650000005,0,0.41493775933609955,0.8298755186721991,0,0.128571429
