Iteration,Family,Phase,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT (e>0 all segs),Pareto Efficient,Beats benchmark (BIC+RMSE),BIC improvement vs benchmark,RMSE improvement vs benchmark,Joint improvement score,Total improvement score
9,nb,random,"FC_1, FRICTION_Z","AVESNOW_Z, FRICTION_Z",603.6808311612668,16.384980494064685,1150.0040147040531,1171.7456330213572,0.6733604709120619,0.7414830128195214,0.8443406705883229,0.9278737128293831,1.0,yes,True,False,,,,
6,nb,random,"MIGRADE_Z, MINRAD_Z, MXMEDSH_Z",HISNOW,626.6032277552129,17.72590404559565,1156.5720876707323,1178.3137059880364,0.727713047976114,0.727713047976114,0.727713047976114,0.7513325327862903,1.0,yes,False,False,,,,
8,nb,random,"FC_1, GRADEBR_Z, HISNOW","AVESNOW_Z, FRICTION_Z",637.6557459751508,17.12719950676515,1150.9793412879194,1175.8269050791241,0.8283020733046894,0.8290066313878164,0.8309741543889805,0.8386967625826922,1.0,yes,False,False,,,,
1,nb,random,"LANES_Z, WIDTH_Z",SPEED_Z,652.6977083589481,17.703780292736674,1153.2895214393566,1171.92519428276,0.8708426705940805,0.8708426705940805,0.8708426705940805,0.890650079769652,1.0,yes,False,False,,,,
5,nb,random,"ACCESS_Z, FRICTION_Z, TANGENT_Z","CURVES_Z, FRICTION_Z",667.350587197075,16.93224029949842,1159.6188990879903,1184.466462879195,0.7183201909616254,0.7560294027368522,0.8047031915405682,0.8505045892545106,1.0,yes,False,False,,,,
7,nb,random,"GRADEBR_Z, MXGRADE_Z","CURVES_Z, HISNOW",693.439515300844,17.279438659114504,1152.7984971038177,1174.5401154211218,0.7295543582218201,0.7516870835921318,0.7649667188143188,0.7834655321880072,1.0,yes,False,False,,,,
15,nb,random,"CURVES_Z, MIMEDSH_Z, MXMEDSH_Z, WIDTH_Z","FRICTION_Z, SPEED_Z",728.578466432249,16.763752830947308,1134.5748817225685,1162.5283909876737,0.833608293236058,0.8386216315447478,0.8479240959793207,0.8576962884185944,1.0,yes,True,True,0.00285453800486023,0.024870743701863787,0.00285453800486023,0.027725281706724017
17,nb,random,"MIMEDSH_Z, MXMEDSH_Z, WIDTH_Z","CURVES_Z, FRICTION_Z",743.6017478962016,16.90420325023924,1133.3322131356517,1158.1797769268564,0.8560350342418677,0.8689745552589068,0.8801107602326199,0.8903230646912034,1.0,yes,True,True,0.006584512094377439,0.016700895679643474,0.006584512094377439,0.02328540777402091
18,nb,random,"MIMEDSH_Z, MXMEDSH_Z, WIDTH_Z",FRICTION_Z,745.3550461736032,16.984967074240224,1133.6604793654046,1155.4020976827087,0.8933498464517134,0.8978724248954837,0.9040496052089259,0.9122343691242367,1.0,yes,True,True,0.008967034770513428,0.012002951941861642,0.008967034770513428,0.02096998671237507
14,nb,random,"CURVES_Z, MIMEDSH_Z, MXMEDSH_Z, WIDTH_Z",FRICTION_Z,746.620624216797,16.939235991797915,1133.247345367756,1158.0949091589607,0.8641726250855277,0.8694833486173651,0.8767370197828016,0.886348134077005,1.0,yes,True,True,0.006657306453881199,0.014663079233249146,0.006657306453881199,0.021320385687130346
11,nb,random,"CURVES_Z, MIMEDSH_Z, MINRAD_Z, MXMEDSH_Z",CURVES_Z,749.2103388262467,17.008533520905157,1133.8599549513492,1158.707518742554,0.7663820319938206,0.7801288373400597,0.7938756426862987,0.835116058725016,1.0,yes,False,True,,,,
16,nb,random,"CURVES_Z, MIMEDSH_Z, MXMEDSH_Z, WIDTH_Z","AVEPRE_Z, FRICTION_Z",749.7295733593722,16.972020206984162,1134.3202518862724,1162.2737611513776,0.8294755976006576,0.8391418351407908,0.8475982037852291,0.8607266991726323,1.0,yes,False,True,,,,
12,nb,random,"CURVES_Z, MIMEDSH_Z, MXMEDSH_Z",CURVES_Z,750.3276598850218,16.99144211396784,1133.8137093303822,1155.5553276476862,0.7819698493991872,0.7956721076456126,0.809374365892038,0.8504811406313142,1.0,yes,False,True,,,,
2,nb,random,"MIMEDSH_Z, MINRAD_Z, MXGRDIFF_Z, MXMEDSH_Z","CURVES_Z, FRICTION_Z",768.7461452444036,17.06116478994829,1129.3964054091373,1157.3499146742424,0.8046206110363573,0.8242880242349969,0.8412257969433427,0.856688566502687,1.0,yes,False,True,,,,
3,nb,random,"AVEPRE_Z, INTPM_Z, MIMEDSH_Z, MINRAD_Z",LANES_Z,774.8243542587103,17.899381854038115,1145.0006913708605,1169.8482551620652,0.8655273349422338,0.8670929249407434,0.87000044922369,0.87000044922369,1.0,yes,False,False,,,,
13,nb,random,"CURVES_Z, MIMEDSH_Z, MXMEDSH_Z",FRICTION_Z,775.3292643131327,17.05387348614492,1132.5892102633145,1154.3308285806186,0.8197211537371909,0.8259350518270976,0.8344223272669702,0.8456679672248013,1.0,yes,True,True,0.009885903618797843,0.007994740959965314,0.007994740959965314,0.017880644578763157
10,nb,random,"CURVES_Z, MIMEDSH_Z, MINRAD_Z, MXMEDSH_Z","CURVES_Z, FRICTION_Z",791.5903625829649,17.290534465485553,1133.9180240024257,1161.8715332675308,0.7802953699304954,0.7929488516337438,0.8149532504281168,0.8480663361369051,1.0,yes,False,False,,,,
4,nb,random,"MIMEDSH_Z, MXMEDSH_Z, SLOPE_Z","AVEPRE_Z, FRICTION_Z",825.2659186991556,17.863531032919294,1135.1118733424732,1159.959437133678,0.8056924397966762,0.8152917386855657,0.8236817578063423,0.8368962512677164,1.0,yes,False,False,,,,
